Promedio horarios de wspPromedio horarios de wsp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-04-2022,17,nr,nr,4.9,nr,3.8,nr,nr,nr,nr,4.6,nr,3.4,2.5,2.6,6.7,4.5,6.2,nr,4.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,18,5.3,nr,5.8,nr,3.4,nr,nr,nr,nr,4.5,nr,4,2.1,3.3,6,4.3,4.9,nr,4.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,19,5.4,nr,5.1,nr,2.5,nr,nr,nr,nr,3.7,nr,3.3,2.1,2.4,5,3.1,2.5,nr,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,20,2.8,nr,2.9,nr,2.5,nr,nr,nr,nr,3.4,nr,3.3,1.4,1.3,4,1.8,2.4,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,21,2.9,nr,2.1,nr,2.6,nr,nr,nr,nr,2.5,nr,3.8,1.3,0.9,3.8,1.9,1.5,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,22,1.3,nr,2.1,nr,2.2,nr,nr,nr,nr,2.5,nr,3.4,1,1.4,3.1,2.1,1.3,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,23,1,nr,2.5,nr,1.7,nr,nr,nr,nr,1.4,nr,2.5,0.7,1.3,2.1,1.2,1.6,nr,0.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-04-2022,24,1.4,nr,3.1,nr,0.8,nr,nr,nr,nr,1.4,nr,1.3,0.5,0.9,1.7,0.8,0.8,nr,0.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,1,1.2,nr,2.3,nr,1.1,nr,nr,nr,nr,1.3,nr,1.9,0.7,1.1,1.4,0.8,0.9,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,2,1.2,nr,2.4,nr,1.3,nr,nr,nr,nr,0.7,nr,1.3,0.5,1.1,1.3,0.9,0.9,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,3,1.2,nr,2.2,nr,0.3,nr,nr,nr,nr,0.7,nr,1.3,0.5,1.1,1.4,0.4,0.9,nr,0.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,4,1.4,nr,2.1,nr,0.2,nr,nr,nr,nr,0.5,nr,1.3,0.7,1.3,1.3,0.4,0.9,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,5,1,nr,2.2,nr,1.1,nr,nr,nr,nr,0.4,nr,1.1,0.5,0.5,1.9,1.2,1.7,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,6,0.8,nr,2.5,nr,1.6,nr,nr,nr,nr,0.6,nr,0.9,0.7,0.8,0.7,1,1.9,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,7,1.2,nr,2.1,nr,0.8,nr,nr,nr,nr,0.5,nr,1.1,0.4,1.1,0.9,0.5,1.3,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,8,1.1,nr,1.4,nr,0.7,nr,nr,nr,nr,0.4,nr,1.1,0.5,0.7,1.2,0.5,1,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,9,0.8,nr,1.6,nr,0.9,nr,nr,nr,nr,0.6,nr,1.1,1.4,0.9,1.3,0.7,0.8,nr,0.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,10,1.2,nr,2.2,nr,1.1,nr,nr,nr,nr,0.5,nr,1.6,1.6,1.1,1.1,1,1.2,nr,1.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,11,1.5,nr,2.5,nr,1.6,nr,nr,nr,nr,0.8,nr,2.2,2.1,1.6,1.4,1.3,1.6,nr,2.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,12,2.5,nr,2.5,nr,1.8,nr,nr,nr,nr,1.1,nr,2.5,2.3,1.6,1.9,2,1.6,nr,2.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,13,2.8,nr,2.5,nr,1.7,nr,nr,nr,nr,1.2,nr,2.7,2.1,1.9,2.2,1.6,1.4,nr,2.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,14,2.9,nr,3.2,nr,1.7,nr,nr,nr,nr,1.3,nr,2.8,2.5,1.9,2.5,1.9,2.6,nr,2.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,15,3.3,nr,4.5,nr,2,nr,nr,nr,nr,3.5,nr,2.9,2.3,2.4,2.4,1.9,2.6,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,16,3.5,nr,5.4,nr,2.1,nr,nr,nr,nr,3.5,nr,2.5,2.1,1.7,2.1,2.2,2,nr,4.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,17,3.1,nr,5.1,nr,1.8,nr,nr,nr,nr,3.8,nr,2.5,1.7,1.6,1.7,2.1,1.3,nr,4.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,18,3,nr,5,nr,2.5,nr,nr,nr,nr,4.2,nr,2.2,1.5,1.7,3,1.3,1.7,nr,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,19,4,nr,4.3,nr,3,nr,nr,nr,nr,3.4,nr,2.6,1.3,2.3,4.8,3.1,3.7,nr,3.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,20,2,nr,3.4,nr,1.4,nr,nr,nr,nr,3.3,nr,2.6,1.9,2.4,4.3,2.7,1.6,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,21,1.9,nr,2.5,nr,1.4,nr,nr,nr,nr,2.4,nr,2.6,1.3,2.7,2.8,2.3,2.4,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,22,2.2,nr,2.5,nr,1.9,nr,nr,nr,nr,1.9,nr,3.5,1.2,1.7,1.4,1.5,2.3,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,23,2,nr,2.9,nr,2.1,nr,nr,nr,nr,1.3,nr,2.2,1,1.8,1.6,1.5,2.9,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
02-04-2022,24,1.8,nr,2.8,nr,2.4,nr,nr,nr,nr,1.5,nr,2.2,1.1,1.3,1.6,0.9,5,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,1,1.5,nr,2.2,nr,1.9,nr,nr,nr,nr,1.6,nr,2.2,0.6,1.1,2,1,3.4,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,2,0.8,nr,2.5,nr,1,nr,nr,nr,nr,1.3,nr,2.2,0.5,1,2.5,1,1.4,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,3,1.4,nr,3,nr,1.1,nr,nr,nr,nr,0.7,nr,2.1,0.5,1.1,2.1,1.3,0.9,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,4,1.4,nr,2.6,nr,1.3,nr,nr,nr,nr,1.6,nr,2.1,0.7,1.1,1.6,1.1,0.7,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,5,1.9,nr,3,nr,0.8,nr,nr,nr,nr,1.5,nr,1.5,0.6,0.9,1.3,0.7,1.2,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,6,1.5,nr,1.9,nr,1,nr,nr,nr,nr,0.7,nr,1.8,0.3,1,2.1,0.7,1,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,7,1.4,nr,2.6,nr,0.9,nr,nr,nr,nr,1.1,nr,2.5,0.4,1.1,1.8,1.6,1.9,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,8,1.3,nr,2.3,nr,0.8,nr,nr,nr,nr,1.3,nr,1.9,0.6,0.6,1.3,1.4,2,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,9,1.4,nr,1.4,nr,1.1,nr,nr,nr,nr,1.1,nr,1.5,0.9,1,1,1.1,1.2,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,10,1.8,nr,2.5,nr,1.2,nr,nr,nr,nr,0.5,nr,1.6,1.5,1.4,1.1,1.1,1.2,nr,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,11,1.6,nr,3.1,nr,1.7,nr,nr,nr,nr,0.7,nr,3.1,1.7,2.1,1.6,1.3,1.6,nr,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,12,2.5,nr,3.6,nr,2.5,nr,nr,nr,nr,1.8,nr,3.4,2.9,2.6,2.4,2.6,3.2,nr,3.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,13,2.8,nr,2.5,nr,1.9,nr,nr,nr,nr,1.6,nr,2.8,2.8,2.1,2.2,2.4,2.5,nr,2.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,14,3,nr,2,nr,2.5,nr,nr,nr,nr,1.5,nr,3,3.1,2.2,2.5,2.2,2.4,nr,3.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,15,3.1,nr,3.9,nr,2.3,nr,nr,nr,nr,1.4,nr,2.7,3.3,1.9,2.5,2.5,2.4,nr,3.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,16,2.5,nr,4.5,nr,1.9,nr,nr,nr,nr,3.4,nr,3,3.1,2.3,3,3.2,1.9,nr,3.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,17,2.1,nr,4.6,nr,2.2,nr,nr,nr,nr,4.3,nr,2.4,2.9,3.2,2.8,3.1,2.2,nr,3.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,18,2.4,nr,4.6,nr,2.6,nr,nr,nr,nr,4,nr,2.1,2.1,2.2,3.4,2.9,3.3,nr,4.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,19,3.3,nr,4.5,nr,2.5,nr,nr,nr,nr,3.4,nr,2,1.3,2.1,5,3.3,4.4,nr,3.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,20,3.5,nr,3.7,nr,2,nr,nr,nr,nr,3,nr,2.2,0.6,1.6,4.3,3.3,3.3,nr,1.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,21,2,nr,3.1,nr,0.9,nr,nr,nr,nr,2,nr,2.3,1.3,0.8,3.5,2.2,2.3,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,22,2.4,nr,3.7,nr,1,nr,nr,nr,nr,1.6,nr,2.6,1.4,1.4,2.5,2,2.7,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,23,2.5,nr,3,nr,0.9,nr,nr,nr,nr,1.8,nr,1.9,1.1,1.6,2.8,1.8,2.9,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
03-04-2022,24,1.7,nr,2.6,nr,1.1,nr,nr,nr,nr,1.3,nr,1.7,0.7,1.6,1.5,1,2.1,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,1,1,nr,2.8,nr,0.8,nr,nr,nr,nr,1.3,nr,1.2,0.4,1.1,1.6,0.7,0.9,nr,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,2,1,nr,2.4,nr,0.9,nr,nr,nr,nr,1.6,nr,1.6,0.6,1,2,0.8,1.3,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,3,1,nr,3.1,nr,1.3,nr,nr,nr,nr,0.8,nr,1.6,0.6,1,2,0.7,1.3,nr,0.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,4,1.3,nr,2.6,nr,1.1,nr,nr,nr,nr,1.3,nr,2.7,0.7,1.3,1.7,0.8,1.3,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,5,1.4,nr,3,nr,1.3,nr,nr,nr,nr,2.6,nr,3.2,0.4,1.2,2.4,0.7,1.7,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,6,1.1,nr,3,nr,1.1,nr,nr,nr,nr,2.8,nr,3.7,0.6,1.3,2.1,1,1.6,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,7,1.4,nr,2.9,nr,0.9,nr,nr,nr,nr,3.4,nr,3,0.4,1.1,1.5,1.3,1.5,nr,0.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,0.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,8,1.2,nr,3.1,nr,1.2,nr,nr,nr,nr,3.7,nr,2.5,1.3,0.9,1,0.8,2.1,nr,0.6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,9,1.2,nr,4.3,nr,1.3,nr,nr,nr,nr,4,nr,2.1,1.5,1.2,1.6,0.8,1.5,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,10,1.3,nr,5.5,nr,1.1,nr,nr,nr,nr,4.2,nr,2.1,1.7,1.5,2.2,1.2,1.2,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,11,2.2,nr,5.1,nr,1.6,nr,nr,nr,nr,3.8,nr,2.4,1.9,1.6,2.1,1.7,1.6,nr,3.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,12,2.1,nr,4.6,nr,1.6,nr,nr,nr,nr,4.3,nr,2.1,2.1,2,2.2,1.7,2.1,nr,3.4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,13,3.1,nr,5.5,nr,2.6,nr,nr,nr,nr,4.4,nr,2.4,2.3,2,3,2.2,3,nr,4.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,14,3.5,nr,6,nr,2.4,nr,nr,nr,nr,4.5,nr,3,2.8,2.6,3.4,3,4,nr,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,15,3.8,nr,5.6,nr,3.6,nr,nr,nr,nr,5,nr,3.4,2.5,2.5,4.5,3.1,3.9,nr,4.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,16,4.7,nr,6,nr,3.8,nr,nr,nr,nr,5.1,nr,3.4,1.9,2.4,5.9,4,5.2,nr,5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,3.1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
04-04-2022,17,6.4,nr,6.1,nr,4.5,nr,nr,nr,nr,4.8,nr,4.2,2.5,3.3,6.1,5.1,8,nr,5.3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,4.2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
